"year","mean","var","site"
1997,0.0158979870839914,0.00956671760121214,"Apalachicola"
1998,0.0140147519405683,0.00659214684955694,"Apalachicola"
1999,0.0139989688433676,0.0066891783709128,"Apalachicola"
2000,0.0163797881305506,0.00662345922726497,"Apalachicola"
2001,0.0239572399993724,0.00664169476910783,"Apalachicola"
2002,0.0153292493439746,0.0067115049549264,"Apalachicola"
2003,0.0235321090021347,0.00657293764813303,"Apalachicola"
2004,0.014711950052299,0.00664726240365301,"Apalachicola"
2005,0.0181160502245247,0.00670484970500025,"Apalachicola"
2006,0.0280029215235007,0.00648352728264727,"Apalachicola"
2007,0.0155114939919643,0.00678290034429764,"Apalachicola"
2008,0.0182298825483034,0.00669379358275358,"Apalachicola"
2009,0.0162706601250473,0.00672644499774002,"Apalachicola"
2010,0.0185052930665944,0.00661847788008593,"Apalachicola"
2011,0.0192102309091345,0.00658302034808751,"Apalachicola"
2012,0.0180640230271794,0.00652466244788528,"Apalachicola"
2013,0.024501388547087,0.0065613861816327,"Apalachicola"
2014,0.0204343123556762,0.00655364660207632,"Apalachicola"
2015,0.0179358572604386,0.00655054058920422,"Apalachicola"
2016,0.0147448279362633,0.00802053224660216,"Apalachicola"
1996,0.0170001829875429,0.00325437858485767,"Cedar Key"
1997,0.0259569694932891,0.00239415685167058,"Cedar Key"
1998,0.0242516098050176,0.00222388463222032,"Cedar Key"
1999,0.00811445219469964,0.00156748740251901,"Cedar Key"
2000,0.0105581114026634,0.0014807096223168,"Cedar Key"
2001,0.00973100108353953,0.0015412587519594,"Cedar Key"
2002,0.00431428811393449,0.00117604543895282,"Cedar Key"
2003,0.00838680378707299,0.00158836458659257,"Cedar Key"
2004,0.0114537120983445,0.0017233222433652,"Cedar Key"
2005,0.00868821179858208,0.00148335337790142,"Cedar Key"
2006,0.0108023310472564,0.00154363774344,"Cedar Key"
2007,0.00678045164122845,0.00132892253755996,"Cedar Key"
2008,0.00853623045724553,0.00152938866861672,"Cedar Key"
2009,0.00479699324594597,0.00119046753743548,"Cedar Key"
2010,0.00544441236254964,0.00125967604922456,"Cedar Key"
2011,0.00475833613610203,0.00121948292717478,"Cedar Key"
2012,0.00323112060103866,0.0011079577245949,"Cedar Key"
2013,0.00884486847925573,0.00135623836650481,"Cedar Key"
2014,0.0202490655968623,0.00197985441783104,"Cedar Key"
2015,0.0167265957796044,0.0020116746817791,"Cedar Key"
2016,0.00631059954195919,0.0016745163670282,"Cedar Key"
1995,0.0203395145996463,0.0204415736784594,"Tampa Bay"
1996,0.019090818631514,0.019399081288771,"Tampa Bay"
1997,0.0150458071384574,0.0210902506427488,"Tampa Bay"
1998,0.0289158308608739,0.0168166538468569,"Tampa Bay"
1999,0.0210870346568332,0.0189825906561515,"Tampa Bay"
2000,0.0145985489431183,0.0198898080576439,"Tampa Bay"
2001,0.0190102256533879,0.0211262930143473,"Tampa Bay"
2002,0.0183066879511811,0.018706564358268,"Tampa Bay"
2003,0.0304457919708929,0.0171807691907696,"Tampa Bay"
2004,0.0303419621739666,0.0188048788766517,"Tampa Bay"
2005,0.0132960687404245,0.0211669157907217,"Tampa Bay"
2006,0.0224797840014263,0.0186265491107318,"Tampa Bay"
2007,0.0157411372904049,0.0201456865137864,"Tampa Bay"
2008,0.0136327111185778,0.0209493332249813,"Tampa Bay"
2009,0.0226696587602315,0.0189302359988484,"Tampa Bay"
2010,0.0423917612680899,0.0134418588876882,"Tampa Bay"
2011,0.02571193649762,0.016510309373237,"Tampa Bay"
2012,0.0232425455563443,0.0178436172476024,"Tampa Bay"
2013,0.026687737245825,0.0159514015733164,"Tampa Bay"
2014,0.0210311184549995,0.0187895746436382,"Tampa Bay"
2015,0.0116561882970673,0.0210709383735631,"Tampa Bay"
2016,0.0166074375367356,0.018709101456797,"Tampa Bay"
1995,0.00181446956557435,0.00381506956712028,"Charlotte Harbor"
1996,0.00537115091301354,0.00512651754515952,"Charlotte Harbor"
1997,0.00264311339632957,0.0042066841713567,"Charlotte Harbor"
1998,0.00544140306972385,0.00507078110457377,"Charlotte Harbor"
1999,0.00871344353260387,0.0060407313770746,"Charlotte Harbor"
2000,0.00469832186747534,0.00527335549465891,"Charlotte Harbor"
2001,0.00479318115610352,0.00507605439546741,"Charlotte Harbor"
2002,0.00684101016071897,0.00527568300651744,"Charlotte Harbor"
2003,0.0111425411881425,0.00613488938067999,"Charlotte Harbor"
2004,0.00594959033200431,0.0056089699488143,"Charlotte Harbor"
2005,0.00779939683319479,0.00588685551952491,"Charlotte Harbor"
2006,0.00605997625036807,0.00527114043278692,"Charlotte Harbor"
2007,0.00686265946095384,0.00583169097742505,"Charlotte Harbor"
2008,0.00426937111520495,0.00494251746506501,"Charlotte Harbor"
2009,0.0057726562216868,0.00545467636098825,"Charlotte Harbor"
2010,0.00993477411916258,0.0062355354244763,"Charlotte Harbor"
2011,0.0066632080855021,0.00552156225032667,"Charlotte Harbor"
2012,0.00825830470588436,0.00631246782745631,"Charlotte Harbor"
2013,0.00428774179565304,0.00456804227453196,"Charlotte Harbor"
2014,0.00492130231710339,0.00506473722231225,"Charlotte Harbor"
2015,0.00324336219700379,0.00454746689940743,"Charlotte Harbor"
2016,0.00220881913683863,0.00422204671771947,"Charlotte Harbor"
