"year","mean","var","site"
1997,0.0622868307488637,0.00517284913758324,"Apalachicola"
1998,0.0499561555948846,0.00341446356835048,"Apalachicola"
1999,0.047572982463085,0.00297117639337044,"Apalachicola"
2000,0.0668528306988417,0.00356008785442986,"Apalachicola"
2001,0.056567156422447,0.00321982247374645,"Apalachicola"
2002,0.0965295703712011,0.00357843562636131,"Apalachicola"
2003,0.0521834330050241,0.00325676858070199,"Apalachicola"
2004,0.0640708736262715,0.00349294650454567,"Apalachicola"
2005,0.0653279630279024,0.00356943327277922,"Apalachicola"
2006,0.0299323973826835,0.00304740532465647,"Apalachicola"
2007,0.0294487674681573,0.00304851688732723,"Apalachicola"
2008,0.0352376209859536,0.00311144023498449,"Apalachicola"
2009,0.0581787304576643,0.0033779323236756,"Apalachicola"
2010,0.0417221686657857,0.00340357265010287,"Apalachicola"
2011,0.0194247704158029,0.00295522416948792,"Apalachicola"
2012,0.0616807989212415,0.00348260999800765,"Apalachicola"
2013,0.0680447318127751,0.00348121416128513,"Apalachicola"
2014,0.106728146574187,0.00358278858706986,"Apalachicola"
2015,0.0466602238130239,0.00348483019710281,"Apalachicola"
2016,0.050778189888405,0.00505151932029879,"Apalachicola"
1995,0.0543787906520864,0.00922779546965255,"Cedar Key"
1996,0.192796717667482,0.00129293370077298,"Cedar Key"
1997,0.303393859005708,0.00122243841330115,"Cedar Key"
1998,0.0809973531417916,0.000706195532137159,"Cedar Key"
1999,0.116457176182149,0.000765694151840533,"Cedar Key"
2000,0.068589364852633,0.000540395605707692,"Cedar Key"
2001,0.0492800175670816,0.00046577989403075,"Cedar Key"
2002,0.0641318410706597,0.000487183611797411,"Cedar Key"
2003,0.103896115752827,0.000540350294067223,"Cedar Key"
2004,0.124018144930601,0.000655392127822941,"Cedar Key"
2005,0.169180746469263,0.000697858945965679,"Cedar Key"
2006,0.0737957912160676,0.000512579757680468,"Cedar Key"
2007,0.0890973038863574,0.000557691748036037,"Cedar Key"
2008,0.0596287324661588,0.000502062469911603,"Cedar Key"
2009,0.0948581344532602,0.000550754039613127,"Cedar Key"
2010,0.0647925343235401,0.0005393292209011,"Cedar Key"
2011,0.0550073001153593,0.00049710705575953,"Cedar Key"
2012,0.0755980421596677,0.000522211020216263,"Cedar Key"
2013,0.197406216345118,0.000769198095816109,"Cedar Key"
2014,0.0991843771675678,0.000600964387447574,"Cedar Key"
2015,0.0203069899350738,0.000501788860086184,"Cedar Key"
2016,0.040926230405645,0.000831785742772982,"Cedar Key"
1995,0.914223631414824,0.00485807200440846,"Tampa Bay"
1996,0.322225376928621,0.00407194184481907,"Tampa Bay"
1997,0.430449872548316,0.00423873697199559,"Tampa Bay"
1998,0.352090532034789,0.00423798179314135,"Tampa Bay"
1999,0.296365965151287,0.00415512480688856,"Tampa Bay"
2000,0.294499316616246,0.00419015262253507,"Tampa Bay"
2001,0.377773529960245,0.00425405448342534,"Tampa Bay"
2002,0.663502619860203,0.00432683166086542,"Tampa Bay"
2003,0.603512087680335,0.00433858266414054,"Tampa Bay"
2004,0.608849473916898,0.00431850798809354,"Tampa Bay"
2005,0.142305944399301,0.00371857831491019,"Tampa Bay"
2006,0.196339406470081,0.00402448914482056,"Tampa Bay"
2007,0.11462795611667,0.00374340451808085,"Tampa Bay"
2008,0.187186538034243,0.00395813086798019,"Tampa Bay"
2009,0.309377267919815,0.00422978732624733,"Tampa Bay"
2010,0.298263573648943,0.00420596122786894,"Tampa Bay"
2011,0.209642685531319,0.00397543224953213,"Tampa Bay"
2012,0.240567059713736,0.00398955458395236,"Tampa Bay"
2013,0.436282244224058,0.0041572249022567,"Tampa Bay"
2014,0.269652434420661,0.00388996782779445,"Tampa Bay"
2015,0.399710771380881,0.00402896735534451,"Tampa Bay"
2016,0.425545885530778,0.00441049632534673,"Tampa Bay"
1995,0.81059521432155,0.00246833919631976,"Charlotte Harbor"
1996,0.0787768021863408,0.000926615107268751,"Charlotte Harbor"
1997,0.226514794001375,0.00141260147569826,"Charlotte Harbor"
1998,0.188704624431183,0.00164880435140935,"Charlotte Harbor"
1999,0.0946648726295111,0.00118689464375554,"Charlotte Harbor"
2000,0.115921402527521,0.00113799435727001,"Charlotte Harbor"
2001,0.106329022261236,0.00115625444567392,"Charlotte Harbor"
2002,0.324663863389275,0.00179463613438506,"Charlotte Harbor"
2003,0.363514985029297,0.00179999108915271,"Charlotte Harbor"
2004,0.235493466929399,0.00155117142049259,"Charlotte Harbor"
2005,0.0596823207827093,0.00106572623933398,"Charlotte Harbor"
2006,0.0931368133441663,0.0010810720746477,"Charlotte Harbor"
2007,0.0356612894690063,0.00100698536610976,"Charlotte Harbor"
2008,0.0758606844228197,0.00105998289160232,"Charlotte Harbor"
2009,0.153331252503684,0.00116486108048447,"Charlotte Harbor"
2010,0.23788957806984,0.00159502197654264,"Charlotte Harbor"
2011,0.115570727775928,0.00113713321840256,"Charlotte Harbor"
2012,0.122840069617455,0.00126547957826079,"Charlotte Harbor"
2013,0.243511011915276,0.00144316694350084,"Charlotte Harbor"
2014,0.238455756588176,0.00158018225350532,"Charlotte Harbor"
2015,0.223944399344763,0.00144288047237976,"Charlotte Harbor"
2016,0.310039557472435,0.00185606237181185,"Charlotte Harbor"
