"year","mean","var","site"
1986,0.0295763403650794,5.13150593001475e-05,"Barataria"
1987,0.102032216510924,6.05629764924971e-05,"Barataria"
1988,0.0691521681589642,4.95748683503841e-05,"Barataria"
1989,0.0102218427602801,7.45401125272051e-05,"Barataria"
1990,0.00628369115550634,0.000155278429332704,"Barataria"
1991,0.10187143432694,6.24697716069425e-05,"Barataria"
1992,0.167407977405244,9.19177687149719e-05,"Barataria"
1993,0.056668140166622,5.6547113103244e-05,"Barataria"
1994,0.155038274765389,6.11673402780702e-05,"Barataria"
1995,0.0203777198791058,7.19003457679885e-05,"Barataria"
1996,0.0489345352449692,5.31936401817748e-05,"Barataria"
1997,0.0286199974325036,4.42606597380197e-05,"Barataria"
1998,0.0294273619660314,3.68605908769521e-05,"Barataria"
1999,0.0595905275823834,3.72994855972778e-05,"Barataria"
2000,0.0245036042914325,3.74955008459081e-05,"Barataria"
2001,0.0287376366455429,3.45971597002323e-05,"Barataria"
2002,0.00621492364603267,6.15150460889376e-05,"Barataria"
2003,0.0167160936507237,3.78772205141969e-05,"Barataria"
2004,0.00593050029287901,8.1877906318194e-05,"Barataria"
2005,0.0227262426315266,3.86243242173796e-05,"Barataria"
2006,0.0238426615652074,3.46789064265244e-05,"Barataria"
2007,0.0325809825810417,3.42803624850471e-05,"Barataria"
2008,0.0181380414236859,3.80452066262784e-05,"Barataria"
2009,0.0358717045971922,3.48739584461235e-05,"Barataria"
2010,0.0422718559844732,2.80783704114142e-05,"Barataria"
2011,0.056174473661445,2.67687143121168e-05,"Barataria"
2012,0.0567554287106459,3.11307660594731e-05,"Barataria"
2013,0.128376019562641,6.85833575162543e-05,"Barataria"
2014,0.030898578206472,3.41177876941563e-05,"Barataria"
2015,0.011125031157098,0.000123654332805359,"Barataria"
1986,0.0336599536800986,0.000166571280659812,"Calcasieu"
1987,0.0119860417341158,0.000281497875965766,"Calcasieu"
1988,0.0588812401740914,8.46024173949559e-05,"Calcasieu"
1989,0.0832463749176944,6.92568855586216e-05,"Calcasieu"
1990,0.024768389606732,0.000130040244220047,"Calcasieu"
1991,0.144721768664195,7.71267677197349e-05,"Calcasieu"
1992,0.0717249756427171,8.4113318678193e-05,"Calcasieu"
1993,0.0296204360794051,0.000116865959261473,"Calcasieu"
1994,0.0664611586309798,8.32192419517124e-05,"Calcasieu"
1995,0.0356815226884444,0.000103372471489822,"Calcasieu"
1996,0.0314890473670134,0.000132213933544061,"Calcasieu"
1997,0.0741691388045024,8.02389045348283e-05,"Calcasieu"
1998,0.153724369325736,8.07201993163077e-05,"Calcasieu"
1999,0.0244034386997128,0.000155833973183107,"Calcasieu"
2000,0.0435708463621305,0.000109193609482187,"Calcasieu"
2001,0.0400526435779541,9.53936330948136e-05,"Calcasieu"
2002,0.0532347638907195,9.21740425713391e-05,"Calcasieu"
2003,0.0156072839094305,0.000170609535244645,"Calcasieu"
2004,0.026105155832074,0.000116577725887057,"Calcasieu"
2005,0.0229966713438484,0.000136096958881613,"Calcasieu"
2006,0.56047562343729,0.000140461480668632,"Calcasieu"
2007,0.20632146499313,9.50672509719182e-05,"Calcasieu"
2008,0.0907298662890981,7.90327760639873e-05,"Calcasieu"
2009,0.31015389210309,0.00011087521540432,"Calcasieu"
2010,0.0781177552902492,7.87035846218507e-05,"Calcasieu"
2011,0.0278319268313444,8.37994435415769e-05,"Calcasieu"
2012,0.0746845337421075,6.67231866218726e-05,"Calcasieu"
