"year","mean","var","site"
1985,0.184144947211959,0.000465795373764124,"Sabine"
1986,0.0597349517524938,0.000267245981581863,"Sabine"
1987,0.0706682597582107,0.000210756861438219,"Sabine"
1988,0.0915181330080251,0.000175740901363506,"Sabine"
1989,0.023394999329528,0.000362755748232756,"Sabine"
1990,0.0378130220266103,0.000243556201459579,"Sabine"
1991,0.0313952607917396,0.000284695941124667,"Sabine"
1992,0.0198920312782183,0.000282173946556861,"Sabine"
1993,0.0294751807331241,0.000282018931298604,"Sabine"
1994,0.0598976189067177,0.000146262843690308,"Sabine"
1995,0.0735836496534028,0.000132921887672446,"Sabine"
1996,0.054938544839219,0.000144948275472809,"Sabine"
1997,0.0655978240760377,0.000146959699036804,"Sabine"
1998,0.0675718993153697,0.000143304057615192,"Sabine"
1999,0.0702531327201876,0.00013652737387186,"Sabine"
2000,0.0664044458514517,0.000138195320472798,"Sabine"
2001,0.108832439031571,0.000123374255321167,"Sabine"
2002,0.0594020727149557,0.000144385643034872,"Sabine"
2003,0.0471258422357424,0.00016718603565888,"Sabine"
2004,0.0606115196887885,0.000142930485672299,"Sabine"
2005,0.117448375522873,0.000123766567177602,"Sabine"
2006,0.171281834274258,0.000121122943969855,"Sabine"
2007,0.116918162357298,0.000122085860104055,"Sabine"
2008,0.124524504391617,0.000128472788285945,"Sabine"
2009,0.303522288386459,0.000128821048756355,"Sabine"
2010,0.0463349686086522,0.000157956739310019,"Sabine"
2011,0.128080448819434,0.000122532174637028,"Sabine"
2012,0.124105803410997,0.000123016549457964,"Sabine"
2013,0.115562150833116,0.000125813141058905,"Sabine"
2014,0.0999326774397295,0.000123824275428596,"Sabine"
2015,0.162327640469399,0.000121595359179372,"Sabine"
2016,0.207766456381802,0.000158420584580981,"Sabine"
1983,0.0757876181497723,0.000385464625502231,"Galvestine"
1984,0.107788810631442,0.000192863637351479,"Galvestine"
1985,0.0979427300692068,0.000244727219139779,"Galvestine"
1986,0.0307880895641296,0.000319574412370278,"Galvestine"
1987,0.0239442858963456,0.000312755502254386,"Galvestine"
1988,0.0571239896998117,0.000245502090083467,"Galvestine"
1989,0.031897530838288,0.000308468408599627,"Galvestine"
1990,0.0254492506139516,0.000231904194035313,"Galvestine"
1991,0.100691114312388,0.000176933617050053,"Galvestine"
1992,0.0521183625111927,0.000183586928359906,"Galvestine"
1993,0.0319691887133625,0.000198761437891373,"Galvestine"
1994,0.0409810919195566,0.000185229652543511,"Galvestine"
1995,0.016278082598395,0.00029010117905596,"Galvestine"
1996,0.0426140769396671,0.000186875143249721,"Galvestine"
1997,0.0397174448330967,0.000185684722183721,"Galvestine"
1998,0.0435243349540851,0.000185854405430016,"Galvestine"
1999,0.0222956013979438,0.000250102965137541,"Galvestine"
2000,0.0363419939919782,0.000208952962345642,"Galvestine"
2001,0.0654083483804077,0.000178278902498097,"Galvestine"
2002,0.0415986504429817,0.000181299624915821,"Galvestine"
2003,0.0254623613578442,0.000211165405079544,"Galvestine"
2004,0.0459203249711883,0.00019593909555429,"Galvestine"
2005,0.062230378810385,0.000181071868139291,"Galvestine"
2006,0.0898886991535553,0.000169514238429005,"Galvestine"
2007,0.117358451556432,0.000166200039442371,"Galvestine"
2008,0.133030756263184,0.000169585634694141,"Galvestine"
2009,0.169814643210557,0.000171533147448644,"Galvestine"
2010,0.149079567363757,0.000171714556752252,"Galvestine"
2011,0.20694779691828,0.000174553692527195,"Galvestine"
2012,0.124152468080228,0.000167483930937198,"Galvestine"
2013,0.078615101811116,0.000169982583435747,"Galvestine"
2014,0.106626414185483,0.000168933077514535,"Galvestine"
