"year","mean","var","site"
1985,0.417393191664464,0.00139978367545203,"Sabine"
1986,0.121730058508249,0.00117138438544171,"Sabine"
1987,0.198198669647896,0.0010631204286257,"Sabine"
1988,0.504109859140975,0.000829439031936463,"Sabine"
1989,0.1234058686138,0.000921665477698403,"Sabine"
1990,0.134058714082338,0.000905878075010933,"Sabine"
1991,0.0376637276015076,0.00118309293759492,"Sabine"
1992,0.133654129341749,0.000802794623050636,"Sabine"
1993,0.236666829648627,0.000745557358537556,"Sabine"
1994,0.183848099097164,0.000724568774949422,"Sabine"
1995,0.378333139095027,0.000667994080392491,"Sabine"
1996,0.221701712946691,0.000695798754148145,"Sabine"
1997,0.137992909639003,0.000747417207364674,"Sabine"
1998,0.0888407158868403,0.000811872639082516,"Sabine"
1999,0.234855307531335,0.000724590529628846,"Sabine"
2000,0.146529311815267,0.000752265781467767,"Sabine"
2001,0.0547913894078735,0.000981639688690369,"Sabine"
2002,0.0643428859337673,0.000903003762123673,"Sabine"
2003,0.0476728029173596,0.000973634155820763,"Sabine"
2004,0.100654276955245,0.000767867051866661,"Sabine"
2005,0.162116640245717,0.000727568509163241,"Sabine"
2006,0.0792608060066973,0.000823021846199459,"Sabine"
2007,0.139348013063415,0.000731083336746111,"Sabine"
2008,0.498577094346468,0.000682693822603598,"Sabine"
2009,0.17758273447409,0.000718279187883947,"Sabine"
2010,0.230971190516181,0.000700388684543301,"Sabine"
2011,0.121716409624078,0.000750571290236372,"Sabine"
2012,0.249098720660303,0.00069347522806458,"Sabine"
2013,0.0392318214681679,0.00102135243369308,"Sabine"
2014,0.216886638303475,0.000694091903317596,"Sabine"
2015,0.160217511076297,0.00069706307112125,"Sabine"
2016,0.280930898025049,0.00101382529356037,"Sabine"
1983,0.12447083915276,0.00434470892252089,"Galveston"
1984,0.159450062203465,0.00363938774665864,"Galveston"
1985,0.0189550499406574,0.00630337013820755,"Galveston"
1986,0.301036911472405,0.00278443320634313,"Galveston"
1987,0.416636136278545,0.00279036612496695,"Galveston"
1988,0.0884065363568073,0.00309969304924146,"Galveston"
1989,0.0781038176263024,0.00321772900006739,"Galveston"
1990,0.426970847402653,0.00229339541429683,"Galveston"
1991,0.119258914107256,0.0023327833521214,"Galveston"
1992,0.29491828983122,0.00213151937008291,"Galveston"
1993,0.399841574962033,0.00214739548637758,"Galveston"
1994,0.228593564731716,0.00225602808638921,"Galveston"
1995,0.187965344866595,0.00222724400472986,"Galveston"
1996,0.325127768872164,0.00213652285636401,"Galveston"
1997,0.205354314109151,0.00216769199455843,"Galveston"
1998,0.122754713979182,0.00230837568065213,"Galveston"
1999,0.137074761096741,0.00220774230727781,"Galveston"
2000,0.440629460410763,0.00210713704224203,"Galveston"
2001,0.335277026945047,0.00216438139595519,"Galveston"
2002,0.136854794774393,0.00227282207298752,"Galveston"
2003,0.112056987800733,0.00233823697161084,"Galveston"
2004,0.248174490415342,0.00214684644735279,"Galveston"
2005,0.276630195502719,0.00214528020160562,"Galveston"
2006,0.22838343605153,0.00215971493863119,"Galveston"
2007,0.301360403129859,0.00213612441786823,"Galveston"
2008,0.267371084756177,0.00213370612279285,"Galveston"
2009,0.31178688026193,0.00213863735427493,"Galveston"
2010,0.164970251057615,0.00215141033881664,"Galveston"
2011,0.195011248802821,0.0021857880082478,"Galveston"
2012,0.407564026238174,0.00213873105431933,"Galveston"
2013,0.262502159817311,0.00220071794083078,"Galveston"
2014,0.369083213708416,0.00214261564333322,"Galveston"
2015,0.320210214820635,0.00215019003460361,"Galveston"
2016,0.324096653931307,0.00305789658431319,"Galveston"
1983,0.0196509383401946,0.00297907774585866,"Matagorda"
1984,0.154849799478951,0.00132459757016767,"Matagorda"
1985,0.0440862756382049,0.00211073077522107,"Matagorda"
1986,0.297771858784277,0.00127661202937455,"Matagorda"
1987,0.118541111944109,0.00137507986875769,"Matagorda"
1988,0.0618870511258429,0.0015525395278346,"Matagorda"
1989,0.0411830181815042,0.0015040915104816,"Matagorda"
1990,0.516232166209719,0.00103870404033861,"Matagorda"
1991,0.254259896266752,0.000967328374600522,"Matagorda"
1992,0.1175538604964,0.000978137971683812,"Matagorda"
1993,0.216506381690737,0.000927830432198395,"Matagorda"
1994,0.13556959775895,0.000956918480680991,"Matagorda"
1995,0.172552147472013,0.000961696657004621,"Matagorda"
1996,0.24983850104515,0.00093909700604188,"Matagorda"
1997,0.155781831043888,0.000963988799566467,"Matagorda"
1998,0.15551788359137,0.000971820201341184,"Matagorda"
1999,0.164210759756538,0.000944554729736773,"Matagorda"
2000,0.139566371776045,0.000932645054752725,"Matagorda"
2001,0.216015874083478,0.000933769016816454,"Matagorda"
2002,0.133650698059692,0.000955355092809303,"Matagorda"
2003,0.117315985299915,0.000934277404995094,"Matagorda"
2004,0.0576184296485412,0.00105183216687518,"Matagorda"
2005,0.0545803579058798,0.00117014333419062,"Matagorda"
2006,0.069748911433907,0.00112742533025216,"Matagorda"
2007,0.304267996639076,0.00094134152303482,"Matagorda"
2008,0.0980793496383426,0.00103400436420174,"Matagorda"
2009,0.0597582754339894,0.00105426286805826,"Matagorda"
2010,0.226603167373568,0.000932690510080984,"Matagorda"
2011,0.117399778089011,0.000973468808088186,"Matagorda"
2012,0.0533676936879401,0.00197014007057542,"Matagorda"
2013,0.113644705424386,0.00107892643290304,"Matagorda"
2014,0.0816037356291524,0.00112174198446571,"Matagorda"
2015,0.11226303243119,0.000976015450372867,"Matagorda"
2016,0.360392414113128,0.0015438841076307,"Matagorda"
1983,0.0674513571427207,0.00770860718911286,"San Antonio"
1984,0.523804110467114,0.00194400979707182,"San Antonio"
1985,0.108036677217458,0.00285202746873962,"San Antonio"
1986,0.275153973471545,0.00204388686141257,"San Antonio"
1987,0.199111377196532,0.00236355028387489,"San Antonio"
1988,0.21508602873112,0.00201219201071361,"San Antonio"
1989,0.0348472750135928,0.00401951008066543,"San Antonio"
1990,0.858825690652575,0.00144548896007693,"San Antonio"
1991,0.364615349279017,0.00136418106117676,"San Antonio"
1992,0.252418153950578,0.00134670442604739,"San Antonio"
1993,0.243788184858331,0.00132348769982487,"San Antonio"
1994,0.320971731298183,0.00141076390557666,"San Antonio"
1995,0.253629837394205,0.00141948051275993,"San Antonio"
1996,0.235871321256825,0.00142360241742834,"San Antonio"
1997,0.322476829174593,0.00133388573536409,"San Antonio"
1998,0.267467973282461,0.00132859957431298,"San Antonio"
1999,0.203469738828923,0.00140886841533492,"San Antonio"
2000,0.242690097493224,0.0013514054014427,"San Antonio"
2001,0.33094102347219,0.00134114561827996,"San Antonio"
2002,0.202770546772855,0.00138485071055579,"San Antonio"
2003,0.234569511011445,0.00134911076697278,"San Antonio"
2004,0.493902672634278,0.00130353665713186,"San Antonio"
2005,0.395548094517172,0.0013123842102034,"San Antonio"
2006,0.19963277178028,0.00143638768157605,"San Antonio"
2007,0.49009575931052,0.00130355263621219,"San Antonio"
2008,0.160214342030685,0.00166195550019712,"San Antonio"
2009,0.254172911858901,0.00132958056026523,"San Antonio"
2010,0.380027033853053,0.00133111747084288,"San Antonio"
2011,0.135305637460734,0.0016618489252674,"San Antonio"
2012,0.264380199317666,0.00133596260357059,"San Antonio"
2013,0.244438641116534,0.00136343139817133,"San Antonio"
2014,0.443200702513746,0.00131454567084336,"San Antonio"
2015,0.486726101188822,0.00130851585862268,"San Antonio"
2016,0.28224006946639,0.00252356888004534,"San Antonio"
1983,0.0285438507018239,0.0041487454464248,"Aransas"
1984,0.312893013908112,0.00169909165560485,"Aransas"
1985,0.0361269107557116,0.00305842142332628,"Aransas"
1986,0.0921922845382778,0.00311863657425968,"Aransas"
1987,0.160966245147258,0.00201000829789966,"Aransas"
1988,0.209850326382732,0.00163109240465243,"Aransas"
1989,0.0517526667935521,0.00211066174041254,"Aransas"
1990,0.435558588847533,0.00135737943928433,"Aransas"
1991,0.419063061093046,0.00126216101648536,"Aransas"
1992,0.253010575990559,0.00121892148592727,"Aransas"
1993,0.369535594265436,0.001218931933238,"Aransas"
1994,0.396507927824594,0.00120352891885335,"Aransas"
1995,0.148260152210139,0.00146508480703983,"Aransas"
1996,0.14167268816661,0.00128882762904002,"Aransas"
1997,0.248966313521818,0.00121900080235456,"Aransas"
1998,0.266635038714657,0.00122711535693353,"Aransas"
1999,0.197691588850173,0.00126126683423232,"Aransas"
2000,0.119233150065652,0.00149181024417857,"Aransas"
2001,0.212620021674195,0.00127378992317753,"Aransas"
2002,0.134250412778663,0.00134411098222133,"Aransas"
2003,0.209330708754604,0.00126099699681317,"Aransas"
2004,0.510960696809837,0.00121786848722187,"Aransas"
2005,0.26335753337878,0.00129606498728096,"Aransas"
2006,0.18677813615904,0.00132243844983442,"Aransas"
2007,0.325960872783754,0.0012274905764952,"Aransas"
2008,0.137463981564551,0.00139066652053739,"Aransas"
2009,0.168063997569733,0.0012965149151831,"Aransas"
2010,0.289565773839421,0.00125903194323071,"Aransas"
2011,0.0881370736685024,0.00149608345920184,"Aransas"
2012,0.0788538644170634,0.00161276856672005,"Aransas"
2013,0.220048920105226,0.00127032030038125,"Aransas"
2014,0.618672578831206,0.00122819937715796,"Aransas"
2015,0.278116763911453,0.00147824268091279,"Aransas"
2016,0.51561312971245,0.0020816705502693,"Aransas"
1983,0.0600447898768291,0.00368666496544628,"Corpus Christi"
1984,0.226138090138304,0.00222459045384639,"Corpus Christi"
1985,0.0996163027291875,0.00307809213304189,"Corpus Christi"
1986,0.116946275799032,0.00340521048405677,"Corpus Christi"
1987,0.121686279389725,0.0039196741233781,"Corpus Christi"
1988,0.0837250766788423,0.0024436967819645,"Corpus Christi"
1989,0.165428017625186,0.00215912705887492,"Corpus Christi"
1990,0.418270969131049,0.00179402779640849,"Corpus Christi"
1991,0.254572555544212,0.00168626407082881,"Corpus Christi"
